WORD	PF	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
accepted	3	8	attraction	16.932063588998	10.4687134950575	3.96515982535061	5.26698701754504	0.00301221399828837	0.265665617370855	0.0118644720592967	1.10977691043232
existed	3	8	attraction	16.932063588998	10.4687134950575	3.96515982535061	5.26698701754504	0.00301221399828837	0.265665617370855	0.0118644720592967	1.10977691043232
forgotten	3	8	attraction	16.932063588998	10.4687134950575	3.96515982535061	5.26698701754504	0.00301221399828837	0.265665617370855	0.0118644720592967	1.10977691043232
intrusted	3	8	attraction	16.932063588998	10.4687134950575	3.96515982535061	5.26698701754504	0.00301221399828837	0.265665617370855	0.0118644720592967	1.10977691043232
led	4	11	attraction	22.3752146186081	11.945917550722	3.93539348273514	5.23456553985266	0.00401385156596791	0.259612056881568	0.0156929046811783	1.0752677027102
exalted	3	9	attraction	16.3411511861127	9.99873529502528	3.84736948794614	5.14145613546118	0.0030049127030386	0.242938293445083	0.0114894415637424	0.981776963582918
achieved	2	6	attraction	10.8921507786038	8.16393318198952	3.84636522568284	5.14145613546118	0.00200327513535906	0.242931248232812	0.00765819813909555	0.981776963582918
demanded	2	6	attraction	10.8921507786038	8.16393318198952	3.84636522568284	5.14145613546118	0.00200327513535906	0.242931248232812	0.00765819813909555	0.981776963582918
entered	2	6	attraction	10.8921507786038	8.16393318198952	3.84636522568284	5.14145613546118	0.00200327513535906	0.242931248232812	0.00765819813909555	0.981776963582918
commanded	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
elevated	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
emerged	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
exposed	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
mistaken	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
practiced	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
reared	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
reminded	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
scattered	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
separated	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
terminated	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
watched	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
wished	1	3	attraction	5.44510108256064	5.77277251413866	3.84536201486584	5.14145613546118	0.00100163756767953	0.242924203429151	0.00382838480055124	0.981776963582918
strengthened	4	13	attraction	21.2507728970008	11.1804122142031	3.76832479420203	5.05399329421084	0.00399924897546835	0.228239405563417	0.0149744466117025	0.901057893067858
